user_id,control_reward,bandit_reward,bandit_arm,cumulative_control_reward,cumulative_bandit_reward
0.0,0,0,10%_off,0,0
1.0,1,0,25%_off,1,0
2.0,0,0,free_shipping,1,0
3.0,0,0,buy_one_get_one,1,0
4.0,0,0,free_shipping,1,0
5.0,0,0,buy_one_get_one,1,0
6.0,1,0,10%_off,2,0
7.0,0,0,25%_off,2,0
8.0,0,0,10%_off,2,0
9.0,0,1,buy_one_get_one,2,1
10.0,0,0,25%_off,2,1
11.0,0,1,10%_off,2,2
12.0,0,0,free_shipping,2,2
13.0,0,0,25%_off,2,2
14.0,0,0,free_shipping,2,2
15.0,0,1,buy_one_get_one,2,3
16.0,0,1,buy_one_get_one,2,4
17.0,1,0,25%_off,3,4
18.0,0,1,buy_one_get_one,3,5
19.0,0,0,10%_off,3,5
20.0,0,1,25%_off,3,6
21.0,0,0,free_shipping,3,6
22.0,0,0,buy_one_get_one,3,6
23.0,0,1,buy_one_get_one,3,7
24.0,0,0,buy_one_get_one,3,7
25.0,1,0,25%_off,4,7
26.0,0,0,free_shipping,4,7
27.0,0,0,buy_one_get_one,4,7
28.0,0,0,25%_off,4,7
29.0,0,0,10%_off,4,7
30.0,1,1,buy_one_get_one,5,8
31.0,0,0,25%_off,5,8
32.0,0,1,buy_one_get_one,5,9
33.0,1,1,buy_one_get_one,6,10
34.0,0,1,buy_one_get_one,6,11
35.0,0,1,buy_one_get_one,6,12
36.0,0,0,buy_one_get_one,6,12
37.0,0,1,buy_one_get_one,6,13
38.0,0,0,buy_one_get_one,6,13
39.0,0,1,buy_one_get_one,6,14
40.0,1,0,buy_one_get_one,7,14
41.0,0,1,buy_one_get_one,7,15
42.0,0,0,buy_one_get_one,7,15
43.0,0,0,10%_off,7,15
44.0,0,0,buy_one_get_one,7,15
45.0,1,0,buy_one_get_one,8,15
46.0,0,0,free_shipping,8,15
47.0,0,0,buy_one_get_one,8,15
48.0,0,0,10%_off,8,15
49.0,0,0,free_shipping,8,15
50.0,0,0,buy_one_get_one,8,15
51.0,0,0,buy_one_get_one,8,15
52.0,0,1,25%_off,8,16
53.0,0,0,25%_off,8,16
54.0,0,0,25%_off,8,16
55.0,1,0,10%_off,9,16
